method,n_train,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
kriging,10,4.008873358270422,1.472168020096505,3.2751198341702823,0.9470814454097551,-0.3787626014179606,1.3942728757865595,0.3482882022857666,0.0845158279456779,0.0003833770751953125,2.3811440137613045e-05
kriging,20,2.1937283811690746,2.890625635627525,1.7722006695659218,2.252954243058214,-89.46703694523566,202.21058007711596,0.253350830078125,0.03372959762891316,0.00034971237182617186,3.5209912131792725e-05
kriging,30,2.0843530675746536,1.7607767563906542,1.3861974898944047,1.0898971924511116,0.9786160265297991,0.02154063748897037,0.2759889602661133,0.04055152065279773,0.00035748481750488283,3.32183909898066e-05
kriging,50,1.9022749333469497,0.3202947430880052,1.025931603053047,0.17188999798501908,0.9869768621138864,0.006259696163707003,0.3859396934509277,0.07287751204679066,0.0003682613372802734,2.5132303947261307e-05
kriging,75,1.135775459133844,0.6933534051580542,0.6677070101046843,0.43238750072803267,0.9907633672706929,0.010018280050262255,0.39902467727661134,0.045357496746895085,0.00036163330078125,3.117289871201081e-05
kriging,100,1.1616040977445308,0.4086313292847281,0.6264257105896684,0.25826080418377856,0.9931890598923413,0.003859461615305921,0.8714215755462646,0.4179019467734322,0.00040488243103027345,4.108845225668363e-05
kriging,150,1.460537764827658,0.3902495568295761,0.7610305990545816,0.18707550211900198,0.9906444704433872,0.003371636107035359,1.8686346054077148,1.2879231811724239,0.0005343437194824218,6.758449741800259e-05
rbf,10,6.1509108931981915,1.8995453587639992,4.987658028197076,1.4539372880368064,-3.62375262917512,6.596021135616648,0.00041189193725585935,0.0004450938557392104,7.004737854003907e-05,4.2095026604478355e-05
rbf,20,2.6269672415098086,1.8766782281378633,2.0287504996702252,1.32866097354009,-16.739039319965535,39.40860635941573,0.00019659996032714844,7.199293667943042e-06,5.345344543457031e-05,5.8141879223604856e-06
rbf,30,1.699366158313739,0.34190191945421006,1.1460812307483184,0.22618902388113724,0.9843253716917426,0.008639138382573392,0.00021104812622070314,1.7385276148703778e-05,5.1355361938476564e-05,3.0138975320931406e-06
rbf,50,2.9037844730352083,1.2952235100064724,1.6429615733197547,0.7382278844033614,0.970886752985588,0.02007513140506438,0.00031409263610839846,7.41516278068524e-06,6.799697875976562e-05,3.9659266254919e-06
rbf,75,1.4889518548872218,1.1909293220323103,0.9096087909068646,0.7698332486537147,0.982169820716393,0.025904252467685258,0.0004406452178955078,3.008252976310064e-05,9.665489196777343e-05,6.813934584768774e-06
rbf,100,4.028649145985058,4.1614933498586755,1.4650142158548958,1.0212513870181705,0.8647832980807474,0.2537115437658028,0.0006133556365966797,3.3177296692864305e-05,0.00013632774353027343,5.752759204135211e-06
rbf,150,3.36841325013683,2.0306103249129928,1.2080488994972385,0.4174113127296174,0.9370266973716053,0.06849075284611862,0.0012079715728759766,5.0608127360411755e-05,0.0002745151519775391,2.309130403290463e-05
spline,20,40.06423828527078,44.97691777592914,28.94066985169841,37.18530773379245,-16546.961897641526,36944.07171273655,0.00032296180725097654,0.00016768121217034684,4.076957702636719e-05,1.4995751565472018e-05
spline,30,8.493028452410224,6.353935843408105,4.9874872935321575,3.440514646780289,0.6601038376493643,0.3615219564392226,0.00024251937866210939,1.2064781086985006e-05,3.08990478515625e-05,5.375268347436128e-06
spline,50,16.29505786720481,15.27469032639652,7.296165484414435,6.588970965070547,-0.5851735802650329,2.2049921941935113,0.0005229949951171875,5.532251269898434e-05,4.024505615234375e-05,4.222769292376211e-06
spline,75,26.393228484135555,29.50469889999857,8.701403676297533,9.723039651667866,-6.3816832965218735,12.935468272265553,0.000921630859375,3.3339665046756225e-05,3.981590270996094e-05,8.085167387873247e-07
spline,100,108803.84701398438,238266.861256105,21773.21076109836,47646.640119103264,-356759880.07624716,797537425.9157817,0.0019882678985595702,0.0005025062709846544,4.3964385986328126e-05,4.124710324985239e-06
spline,150,3252.019381542104,7077.534773698471,548.290697613674,1158.5672266558943,-193705.75470984998,433031.2560540051,0.004280710220336914,0.0019125895216599883,5.283355712890625e-05,4.8087319318690136e-06
