method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
rbf,75,18,2.821462769042249,1.6429933185374674,0.9766809783530308,7.076117884534696,0.0001804828643798828,4.0531158447265625e-05,,True,thin_plate_spline,0.0,,,,,
spline,75,18,20018.686147893444,4912.943706861505,-1173903.6405016207,84901.9534003387,0.0004012584686279297,1.811981201171875e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,2.550184775626086,1.4663513936764623,0.9809495615590634,8.158161616193752,0.23582243919372559,0.00020503997802734375,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.4725797846208155,0.22035897639661728,0.9898021142503414,1.9100861536568345,0.00018310546875,4.1484832763671875e-05,,True,thin_plate_spline,0.0,,,,,
spline,75,18,1.075949574201779,0.5833163158394714,0.9471379868867751,3.125053921004895,0.0004107952117919922,1.7881393432617188e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.7389257571576849,0.5113976430881775,0.9750677500224865,2.4473656793105647,0.23615360260009766,0.00019121170043945312,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.8452200047878553,0.4338295276279119,0.994298857559977,3.166464090454845,0.0001850128173828125,4.506111145019531e-05,,True,thin_plate_spline,0.0,,,,,
spline,75,18,0.9167895295802433,0.5346038683400828,0.9932924850976294,3.430200795000708,0.0004150867462158203,2.002716064453125e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.8187026780020765,0.5076323424230753,0.9946509731383733,2.2954139957408373,0.16751599311828613,0.00016570091247558594,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.8608811398798245,0.4543197315682804,0.9907121213749285,3.10788900053824,0.00017833709716796875,4.029273986816406e-05,,True,thin_plate_spline,0.0,,,,,
spline,75,18,1.0642475952646293,0.6760043030652528,0.9858056503319551,3.4552350478317635,0.0004611015319824219,1.8835067749023438e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.8839912627473063,0.626066762954979,0.9902067669500368,2.6061727871656544,0.18208885192871094,0.0001850128173828125,,True,,,,,rbf,1e-06,5.0
rbf,75,18,1.2830309810301275,0.871052558254159,0.9919700404716155,2.7668521534127244,0.0001857280731201172,4.029273986816406e-05,,True,thin_plate_spline,0.0,,,,,
spline,75,18,28.70465131039076,8.283094106614788,-3.0192370495752883,120.89843497833915,0.0004012584686279297,1.8596649169921875e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,1.4191350973502292,0.9193147908685978,0.9901760407648015,3.6518678777379483,0.15998315811157227,0.00018262863159179688,,True,,,,,rbf,1e-06,5.0
rbf,100,25,2.821261197207744,0.8656529769805595,0.9620768330426456,13.715000390751321,0.00027441978454589844,5.7220458984375e-05,,True,thin_plate_spline,0.0,,,,,
spline,100,25,42.14330775185754,8.911877037110232,-7.462043348135303,210.67057277495314,0.0006866455078125,2.0742416381835938e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,2.024665723200966,0.9502213593677901,0.9804689915675895,8.959703446869412,0.19409561157226562,0.00019669532775878906,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.3696492913711298,0.7827890209902322,0.9880674782062812,4.587021964862757,0.0002586841583251953,5.7220458984375e-05,,True,thin_plate_spline,0.0,,,,,
