method,n_train,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
kriging,100,1.6165628402688166,0.5142388940515564,1.0060954146940642,0.4054754721477588,0.9865780935370875,0.00681314753062567,0.23809618949890138,0.0796082149687344,0.00041363716125488283,0.0002701894429044673
rbf,100,3.368593147507586,1.736300956957264,1.9648319582007008,0.8075915113308096,0.928607153904695,0.07605963115773016,0.13119903564453125,0.0853170409356591,0.0001758575439453125,1.2597137676991913e-05
spline,100,5724.898716653565,21140.702339761418,1210.1449594647302,4724.056345517291,-2104146.6240661615,9846328.294708807,0.0015849590301513672,0.0012885080944684641,3.077507019042969e-05,6.483831139304411e-06
