method,n_train,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
kriging,100,1.6165628437928492,0.5142388957262802,1.006095416765535,0.4054754734415569,0.9865780934793245,0.006813147529680265,1.6503726387023925,1.6906462411421512,0.000729379653930664,0.00033718629594726567
rbf,100,3.3685931468587786,1.7363009555723645,1.9648319581111486,0.8075915111149612,0.9286071539466713,0.07605963107595289,0.0010727977752685548,0.0005824110229569862,0.00039664268493652346,0.00016884944044017256
spline,100,5724.898716653565,21140.702339761418,1210.1449594647302,4724.056345517291,-2104146.6240661615,9846328.294708807,0.00314422607421875,0.0014020400905053042,9.693145751953125e-05,3.847870039290225e-05
