method,n_train,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
kriging,10,4.008873902222658,1.4721679973395623,3.275120410494542,0.9470814615966249,-0.37876287421190946,1.3942727814600306,0.08294711112976075,0.014728664585878525,0.00020837783813476562,5.4292470273934494e-05
kriging,20,2.1937283926541804,2.890625627737048,1.7722006830602002,2.2529542334217876,-89.46703694618748,202.21058007666778,0.09106168746948243,0.005805958019810783,0.00015797615051269532,4.97718413759629e-06
kriging,30,2.084353040798279,1.7607768959401655,1.3861975012966679,1.0898972763704944,0.9786160270874651,0.021540639656611765,0.11897411346435546,0.01192820906618554,0.00027866363525390624,6.50523247156081e-05
kriging,50,1.9022749326211783,0.32029473933032515,1.0259315970849325,0.17188999841185823,0.9869768620840708,0.006259696336037279,0.169557523727417,0.032836802532710464,0.0002349853515625,4.225379952519474e-05
kriging,75,1.1357754475240491,0.6933534172043674,0.6677069952023048,0.4323875127614197,0.9907633674457539,0.010018280159746653,0.2292947292327881,0.049703586951489916,0.0003246307373046875,0.00016228282447562083
kriging,100,1.1616040929925622,0.4086313321094572,0.6264257092016251,0.25826080529111534,0.9931890599652856,0.0038594616008161583,0.310608434677124,0.06508775110774206,0.0002552032470703125,1.6491949265177672e-05
kriging,150,1.4605378622572294,0.39024955301525166,0.7610306120731307,0.18707551990305366,0.9906444691646085,0.0033716361589780936,0.6086030006408691,0.1933515417625416,0.000308990478515625,2.2906182086822942e-05
rbf,10,6.1509108931986125,1.8995453587638618,4.987658028197453,1.4539372880366428,-3.6237526291751516,6.59602113561628,0.0014700889587402344,0.0018960822073011512,3.561973571777344e-05,2.215920813443743e-05
rbf,20,2.626967241509381,1.8766782281381655,2.028750499669203,1.328660973539041,-16.739039319896044,39.40860635926019,0.00028400421142578126,0.0002737761903782578,3.3855438232421875e-05,1.0483642037353827e-05
rbf,30,1.699366158317558,0.34190191944355786,1.1460812307669248,0.22618902384543288,0.9843253716914854,0.008639138383199494,0.0060479164123535155,0.007548761073970806,4.596710205078125e-05,1.7939631673037125e-05
rbf,50,2.9037844730305378,1.2952235100079779,1.6429615734131229,0.7382278845359307,0.9708867529856692,0.02007513140515635,0.0005198001861572265,0.0006646705354130996,4.000663757324219e-05,1.1378587572245618e-05
rbf,75,1.4889518549149838,1.1909293220052914,0.9096087909392863,0.769833248647754,0.9821698207160361,0.025904252467703368,0.04987015724182129,0.06872732315711563,7.767677307128907e-05,2.2349373374072307e-05
rbf,100,4.0286491457005935,4.161493350052649,1.4650142138686142,1.0212513865884265,0.8647832980845195,0.25371154377119154,0.09176206588745117,0.05719846163438414,0.000127410888671875,3.760670500398705e-06
rbf,150,3.3684132502435618,2.0306103253680936,1.208048899398311,0.4174113121925213,0.9370266973635927,0.06849075286842751,0.4198554515838623,0.07743425047419468,0.00019392967224121093,1.968116127527042e-05
spline,20,40.06423828527078,44.97691777592914,28.94066985169841,37.18530773379245,-16546.961897641526,36944.07171273655,0.00015974044799804688,9.593837421527594e-05,1.5163421630859375e-05,3.254217099974821e-06
spline,30,8.493028452410224,6.353935843408105,4.9874872935321575,3.440514646780289,0.6601038376493643,0.3615219564392226,0.00014171600341796874,3.381831188565871e-05,1.6736984252929688e-05,2.4278926120950637e-06
spline,50,16.29505786720481,15.27469032639652,7.296165484414435,6.588970965070547,-0.5851735802650329,2.2049921941935113,0.00030627250671386717,6.034218335106526e-05,1.811981201171875e-05,3.4094690432727554e-06
spline,75,26.393228484135555,29.50469889999857,8.701403676297533,9.723039651667866,-6.3816832965218735,12.935468272265553,0.0004956245422363282,3.2628695354363235e-05,2.78472900390625e-05,2.2711418965505965e-05
spline,100,108803.84701398438,238266.861256105,21773.21076109836,47646.640119103264,-356759880.07624716,797537425.9157817,0.0009521484375,0.0002819002843555717,2.0456314086914062e-05,8.496537056544046e-07
spline,150,3252.019381542104,7077.534773698471,548.290697613674,1158.5672266558943,-193705.75470984998,433031.2560540051,0.0019318580627441407,0.0005838535463918844,2.3126602172851562e-05,2.7340280869435583e-06
