method,n_train,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
kriging,20,9.192877545405405,10.20714299678182,5.634535846952865,6.281834943426459,0.37842436124411416,0.7744992269944746,0.4641676425933838,0.05978397163701632,0.000862741470336914,5.475681186818009e-05
kriging,30,8.299599421822753,6.65784386658048,4.650013513579331,4.590967163318227,0.7680550492775999,0.28022391847428824,0.5316217422485352,0.04749126966230648,0.0009389400482177734,0.00014193911256843978
kriging,50,2.777348998350391,3.3417145465786535,1.4233698541215953,1.473981406451972,0.9370036998452186,0.12001326470115367,1.975293254852295,0.48385554042906015,0.002051544189453125,0.0022098675693913504
kriging,75,1.2821879422583042,0.7574766250673788,0.8061525952518224,0.4053066247673545,0.9862102181199711,0.00798084533227041,1.9990805625915526,0.7665751199553028,0.0037243843078613283,0.005925287874916019
kriging,100,1.3518486076294562,0.5835388930145228,0.7773203044039848,0.21925892766826924,0.9909075286545491,0.006417721323627552,2.926215982437134,0.7718212647314944,0.001370382308959961,0.00044440175574157287
kriging,150,0.9760847831992601,0.21631085816363962,0.5874158532399525,0.14088977166657304,0.9952324243449133,0.0017344562671997928,3.7750542640686033,0.5964438820620075,0.0014627456665039062,6.110040708363733e-05
rbf,20,4.415508714805013,5.155398286875182,3.1151021122684255,3.946533298088403,0.8016611656373929,0.27823113907289554,0.0013088703155517579,0.0008861896456579144,0.00011234283447265625,1.3635166668143253e-05
rbf,30,6.140449661558705,4.744674186263706,3.769641136524897,3.4267122252091284,0.8803177037458599,0.1652576603377987,0.011703681945800782,0.009569890289317902,0.0001704692840576172,3.875200460846195e-05
rbf,50,2.0349195965964633,1.4613916744344735,1.1013752624034343,0.7216936274355704,0.9751856573511164,0.02672497624435277,0.12296128273010254,0.17578111445742686,0.00024819374084472656,6.104167515989356e-05
rbf,75,1.2566349358722142,0.9205988121091698,0.7245108224772757,0.5649673664428635,0.9886928224019782,0.006923876852451161,0.2775285720825195,0.22440674293369514,0.00034651756286621096,2.0377188375593686e-05
rbf,100,1.6277351675547986,0.8201868765195871,0.7197281220407129,0.22054533321877043,0.9858463135871733,0.013734161178959713,0.1489940643310547,0.11947464955999373,0.00042171478271484374,4.2532631616437245e-05
rbf,150,1.3952508753544945,0.5294895299600889,0.6242963778827251,0.18259354359432672,0.9895944789918506,0.007326069320695407,0.48040432929992677,0.2093453605104509,0.0007121086120605469,7.447289693740292e-06
spline,20,99.76350906137077,119.21803472222388,50.546631622100605,59.58217910181733,-80.5328847790772,84.83314227621347,0.0006066799163818359,0.00021758635204726032,7.047653198242188e-05,2.0458620337104543e-05
spline,30,52.76329620712581,58.96902993938414,25.139441863106125,27.150626304792016,-11.493864661629052,17.78675716693529,0.000698995590209961,0.00011240410732710731,8.230209350585937e-05,2.26656958119164e-05
spline,50,16.648075298721462,21.54574111665881,6.244125630487278,7.251756361514299,-1.825492335362791,4.815591047491046,0.0034874916076660157,0.004522080669580823,7.543563842773437e-05,7.502801989780763e-06
spline,75,4010.0895571805763,8949.085580278826,984.6041450910731,2196.011096672013,-234780.7467005096,524985.65744425,0.003404855728149414,0.002860710767761009,9.059906005859375e-05,1.8361326674928813e-05
spline,100,210.12058347445608,155.82448324860806,51.879881664555455,31.35126406118587,-408.25582156703047,585.5866631821848,0.0038970947265625,0.0011652638674185575,8.931159973144532e-05,4.462314380110511e-06
spline,150,143487.8983760104,320608.5088651361,23617.257724909763,52722.842356453606,-443835868.04587805,992446864.4294788,0.015532255172729492,0.00787335358776685,0.00011224746704101563,1.969473120609915e-05
